from,to,relation
uvdl,cdu,1
uvdl,ff,2
lk,spd,1
lk,ff,2
lk,ffdrei,2
nr,cdu,1
nr,ff,2
br,ffeins,2
sw,linke,1
sw,ff,2
cs,ff,2
cl,fdp,1
cl,ffeins,2
ks,ffeins,2
lm,ffeins,2
kd,ffeins,2
el,ffeins,2
ab,grüne,1
ab,ffzwei,2
ft,ffzwei,2
am,ffzwei,2
agl,fdp,1
agl,ffzwei,2
agl,ffvier,2
er,ffzwei,2
rh,grüne,1
rh,ffdrei,2
cm,ffdrei,2
kp,ffdrei,2
rk,cdu,1
rk,ffdrei,2
chl,spd,1
chl,ffvier,2
sb,ffvier,2
ch,ffvier,2
mw,ffvier,2
os,spd,1
os,ffuenf,2
