from,to,relation
uvdl,cdu,1
uvdl,ff0,2
lk,spd,1
lk,ff0,2
lk,ff3,2
nr,cdu,1
nr,ff0,2
br,ff1,2
sw,linke,1
sw,ff0,2
cs,ff0,2
cl,fdp,1
cl,ff1,2
ks,ff1,2
lm,ff1,2
kd,ff1,2
el,ff1,2
ab,grüne,1
ab,ff2,2
ft,ff2,2
am,ff2,2
agl,fdp,1
agl,ff2,2
agl,ff4,2
er,ff2,2
rh,grüne,1
rh,ff3,2
cm,ff3,2
kp,ff3,2
rk,cdu,1
rk,ff3,2
chl,spd,1
chl,ff4,2
sb,ff4,2
ch,ff4,2
mw,ff4,2
os,spd,1
os,ff5,2
